job_title,required_skills,description
Data Analyst,"Python, SQL, Pandas, NumPy, Excel, Power BI, Statistics","Analyze data, create reports and dashboards, and generate business insights."
Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn","Build statistical and machine learning solutions and analyze complex datasets."
Machine Learning Engineer,"Python, Machine Learning, Scikit-learn, TensorFlow, PyTorch, NumPy","Develop, train, evaluate and deploy machine learning models."
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch","Develop artificial intelligence systems using machine learning and deep learning."
Python Developer,"Python, Django, Flask, SQL, REST API, Git","Develop backend applications and APIs using Python."
Java Developer,"Java, Spring Boot, SQL, Hibernate, Git, REST API","Develop enterprise and backend applications using Java."
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, SQL, Git","Develop complete frontend and backend web applications."
Frontend Developer,"HTML, CSS, JavaScript, React, Bootstrap, Git","Build responsive and interactive web interfaces."
Backend Developer,"Python, Java, Node.js, SQL, REST API, Git","Build server-side applications, APIs and backend services."
Web Developer,"HTML, CSS, JavaScript, Bootstrap, Git, Web Development","Design and develop websites and web applications."
Cybersecurity Analyst,"Cybersecurity, Networking, Linux, SIEM, Python, Security","Monitor systems, identify security threats and respond to security incidents."
Cybersecurity Engineer,"Cybersecurity, Python, Linux, Networking, Firewalls, Cryptography","Design and implement security solutions for systems and networks."
Cloud Engineer,"AWS, Azure, Linux, Networking, Docker, Cloud Computing","Design, deploy and maintain cloud infrastructure."
DevOps Engineer,"Linux, Docker, Kubernetes, Jenkins, Git, AWS, CI/CD","Automate software development, testing and deployment processes."
Database Administrator,"SQL, MySQL, PostgreSQL, Database Administration, Backup, Linux","Manage databases, backups, security and database performance."
SQL Developer,"SQL, MySQL, PostgreSQL, Database, Queries, Stored Procedures","Develop database queries, procedures and data solutions."
Mobile App Developer,"Java, Kotlin, Android, XML, Git, Mobile Development","Develop and maintain Android mobile applications."
UI UX Designer,"Figma, UI Design, UX Design, Wireframing, Prototyping, User Research","Design user interfaces and improve user experience."
QA Engineer,"Software Testing, Selenium, Python, Test Cases, Automation, SQL","Test software applications and automate testing processes."
Automation Tester,"Selenium, Python, Java, Automation Testing, API Testing, Git","Create automated tests for web and software applications."
Business Analyst,"SQL, Excel, Power BI, Business Analysis, Communication, Statistics","Analyze business requirements, processes and data to support decisions."
BI Analyst,"SQL, Power BI, Tableau, Excel, Data Visualization, Statistics","Create business intelligence reports, dashboards and insights."
NLP Engineer,"Python, NLP, NLTK, spaCy, Machine Learning, Deep Learning","Develop natural language processing applications and text analysis systems."
Computer Vision Engineer,"Python, OpenCV, Machine Learning, Deep Learning, TensorFlow, PyTorch","Develop computer vision and image processing applications."
Embedded Systems Engineer,"C, C++, Embedded Systems, Microcontrollers, IoT, Electronics","Develop software for embedded devices and hardware systems."
