resume,job_role
"python pandas numpy sql data analysis statistics","Data Analyst"
"python pandas excel sql visualization data analysis","Data Analyst"
"python numpy pandas matplotlib sql statistics","Data Analyst"
"python sql pandas power bi excel","Data Analyst"
"python django flask sql git api backend","Python Developer"
"python django flask html css sql git","Python Developer"
"python flask django rest api sql backend","Python Developer"
"python django sql github backend development","Python Developer"
"html css javascript react frontend web development","Web Developer"
"html css javascript bootstrap react frontend","Web Developer"
"html css javascript react node web development","Web Developer"
"javascript html css react frontend ui","Web Developer"
"python machine learning tensorflow keras deep learning","ML Engineer"
"python sklearn tensorflow machine learning neural networks","ML Engineer"
"python pytorch machine learning deep learning","ML Engineer"
"python tensorflow keras computer vision machine learning","ML Engineer"
"java spring boot sql git backend development","Java Developer"
"java spring sql hibernate backend development","Java Developer"
"java oop spring boot mysql git","Java Developer"
"java spring boot rest api mysql backend","Java Developer"
